"","Estimate","upperCI","Cul"
"193",24391.1120296793,24965.4289793451,"x"
"194",24487.2571029322,24992.4559804647,"x"
"195",25075.2078295697,26147.1508572079,"x"
"196",24739.9121983322,25515.4219960157,"x"
"197",25404.3897111634,26761.9952966671,"x"
"198",25040.671048853,26151.0882418308,"x"
"199",24694.3306204574,25382.5329692166,"x"
"200",24102.5506256016,24223.1973664382,"x"
"201",24703.7075027721,25558.0069838945,"x"
"202",24537.4743505124,25176.2106756967,"x"
"203",25000.6563923463,25975.4721105939,"x"
"204",24521.4275381383,25212.2598888131,"x"
"205",24628.2605900173,25377.4728640862,"x"
"206",24660.6758254718,25355.1955052086,"x"
"207",24976.7021800678,25973.6198123231,"x"
"208",24915.9787603235,26049.1538160149,"x"
"209",24304.7953439326,24802.6587625088,"x"
"210",25292.2830240115,26818.1922022293,"x"
"211",24426.4446487917,24769.6008687567,"x"
"212",24660.2300347909,25462.2847239049,"x"
"213",24510.4898207639,24946.9031019154,"x"
"214",24767.0697498752,25783.2149834912,"x"
"215",24986.4648606054,26229.3059455468,"x"
"216",24673.6614519116,25139.5390772234,"x"
"217",24415.0114848779,24845.2059126934,"x"
"218",24559.2884961854,25439.91044613,"x"
"219",25025.8629766963,26159.3725490583,"x"
"220",24536.560000461,25165.7740394945,"x"
"221",25642.7794758774,27282.9956934159,"x"
"222",24826.5606374308,25677.9755115621,"x"
"223",24582.233457342,25391.8069524277,"x"
"224",24566.1078706937,25132.5290838997,"x"
"225",24201.6707306169,24465.9417060971,"x"
"226",24738.7832762724,25840.6460054916,"x"
"227",24529.2656782106,25218.6026952126,"x"
"228",24616.2478786091,25281.6466214326,"x"
"229",24568.9034161393,25431.0060062895,"x"
"230",24851.555414773,25847.9902704056,"x"
"231",24664.6265947606,25450.4940278179,"x"
"232",24628.8734059136,25378.0636098498,"x"
"233",24447.6686062151,24987.0062643766,"x"
"234",25385.6603132616,26992.0880598851,"x"
"235",24524.6242721646,25230.747619893,"x"
"236",24794.0242427348,25800.8109490974,"x"
"237",24676.9775265781,25208.348032313,"x"
"238",24707.9166168638,25531.9801040827,"x"
"239",24646.9174941755,25587.5486710033,"x"
"240",24607.933608674,25280.3927078117,"x"
"241",24559.2956842243,25335.0453822578,"x"
"242",24785.8959295978,25910.5413034295,"x"
"243",24821.0171859634,25912.978902262,"x"
"244",27817.5156629619,31762.1437286725,"x"
"245",24623.7688416459,25381.5706739057,"x"
"246",24679.3802300944,25290.3967457127,"x"
"247",24565.4997745599,25290.2977278468,"x"
"248",24588.2857276357,25377.3023411383,"x"
"249",25228.9123726459,26603.5612788155,"x"
"250",25753.8180374002,27592.9728947164,"x"
"251",24730.6896547331,25674.2721419652,"x"
"252",25793.9522498838,27721.3582140008,"x"
"253",25098.4843427193,25938.2627694756,"x"
"254",24457.806310663,25062.7576290443,"x"
"255",24284.95156232,24860.326206269,"x"
"256",24633.5606867138,25253.6402677767,"x"
"257",24524.6293462468,25107.3755208248,"x"
"258",24832.7663685216,25789.7471997269,"x"
"259",25173.2645285638,26413.1968244405,"x"
"260",24905.012148961,25751.3443102374,"x"
"261",25311.3145488983,26743.8716417359,"x"
"262",24582.023440178,25508.303630941,"x"
"263",25162.6900788912,26336.9753554471,"x"
"264",24695.8236543737,25564.9578342626,"x"
"265",24761.4458613239,25845.5610926742,"x"
"266",24656.6444398527,25218.9377464169,"x"
"267",24865.6890885776,25842.1324963336,"x"
"268",24581.7575642142,25436.7317500576,"x"
"269",24634.6667426482,25569.0062665563,"x"
"270",25354.2437104782,26709.0388698509,"x"
"271",24388.3647168522,25123.5472642123,"x"
"272",24303.2615650506,24748.8420593891,"x"
"273",25416.7926248951,27014.7615302378,"x"
"274",25419.3401829752,26786.4546650425,"x"
"275",24683.6469483523,25603.6931061498,"x"
"276",24773.0406819539,25681.8055420253,"x"
"277",24303.586967926,24806.3138186788,"x"
"278",24402.014060711,24885.4232244187,"x"
"279",24456.5986648858,24911.2973505747,"x"
"280",25036.9235596154,26198.3747051346,"x"
"281",24727.3156135509,25507.3914637461,"x"
"282",24639.9078071445,25367.7765269943,"x"
"283",24554.8780566088,25219.0668740875,"x"
