"","Estimate","upperCI","Cul"
"528",14730.6405712011,15338.0662390523,"x"
"529",16025.4191232611,18178.8423969325,"x"
"530",14576.855939644,15051.9074402834,"x"
"531",14552.687282629,14794.4674949901,"x"
"532",15238.7102731564,16437.1807207021,"x"
"533",14771.2985333653,15420.4635002384,"x"
"534",14650.5454312975,15354.8886470359,"x"
"535",14879.8380632354,15573.7897149503,"x"
"536",15813.7051491906,17922.2609135903,"x"
"537",14702.557239019,15382.8804533294,"x"
"538",14420.9787922786,14720.1908991524,"x"
"539",14817.4347576365,15578.0915454081,"x"
"540",14770.004716915,15373.2985028942,"x"
"541",14985.6011935871,15817.1605096709,"x"
"542",14603.1599004227,15172.1617393284,"x"
"543",14792.9574018803,15534.5283862815,"x"
"544",15450.3047604427,16863.885718609,"x"
"545",15190.1374468791,16012.3538230426,"x"
"546",14666.2009593914,15221.5460551065,"x"
"547",14628.3409781615,15299.3149469645,"x"
"548",15023.1011567851,15618.4488342922,"x"
"549",15016.2405710156,16007.499348536,"x"
"550",14444.1491557416,14722.8111994181,"x"
"551",14374.8651653161,14754.1311248368,"x"
"552",14894.8002005415,15882.9859861856,"x"
"553",14746.0389478896,15386.6237311375,"x"
"554",14942.8920528243,15811.9520248936,"x"
"555",14879.1723563975,15642.6749690973,"x"
"556",14968.7147569175,15831.5734781118,"x"
"557",15513.1568277154,16921.2275399875,"x"
"558",14950.1105777474,15913.9932791256,"x"
"559",14784.3039697459,15305.093568445,"x"
"560",15237.7537491474,16238.4438388769,"x"
"561",14321.4869667276,14703.1207967131,"x"
"562",15019.8855394532,16032.0410651816,"x"
"563",14688.609198245,15238.5621690338,"x"
"564",15014.2503734872,16061.460052329,"x"
"565",14848.9511143202,15466.4761824597,"x"
"566",14904.2177404045,15687.9176282057,"x"
"567",15140.301399121,16111.869581855,"x"
"568",15277.685469034,16407.4252493711,"x"
"569",14662.6758043937,15129.6253153612,"x"
"570",14713.5844128108,15317.1313545016,"x"
"571",14765.2709053495,15511.8563985397,"x"
"572",14892.7909126324,15655.3247973325,"x"
"573",15214.9798204547,16591.5578941328,"x"
