"Name","Unmodelled (BP)",,"Modelled (BP)",,"Indices
Amodel 89.6
Aoverall 100.4",
,"from_95_4","to_95_4","from_95_4","to_95_4","Acomb","A","L","P","C",
"",,,,,,,,,,
"Pta-3586","24477","23061","25043","23013",,102.9,,,100,
"Pta-3566","33199","30499","33983","30433",,95.5,,,100,
"Pta-3591","39120","35106","39813","34513",,105.4,,,100,
"I-13040","33219","29788","33883","29138",,102.9,,,100,
"Wk-20241","22890","22360","22894","22338",,99.9,,,100,
"KKH8","34941","30941","35101","30851",,97.7,,,100,
"OZK050","26418","25567","26628","25353",,95.6,,,100,
"OZ052","30735","29233","31023","28978",,102.4,,,100,
"OSL-NT11-25","22334","18334","22354","18574",,102.9,,,100,
"OSL-NT11-27","29734","24934","29530","25138",,101.4,,,100,
"OSL-NT11-10","29834","24634","29912","24283",,100,,,100,
"OSL-NT11-26","23234","19634","23279","19598",,100.3,,,100,
"OSL-NT11-12","30034","24834","29904","24301",,100.1,,,100,
"OSL-NT11-13","32834","26834","33089","26744",,93.6,,,100,
"OSL-NT06-4","36634","29034","36254","28502",,98.1,,,100,
"OSL-NT06-3","36134","29334","36372","29300",,102.7,,,100,
"UOW-PL8-6","26036","19636","26084","19892",,101.6,,,100,
"AA-99784","23009","21776","23228","21398",,98.7,,,100,
"AA-98830","22911","20075","23088","19363",,99.3,,,100,
"UOW-PL8-5","28736","21536","29060","21176",,98.2,,,100,
"AA-89907","26378","25900","26413","25840",,101.1,,,100,
"OxA-32917","24278","23840","24513","23848",,102.9,,,100,
"Pta-919","24930","23810","25148","23473",,99.5,,,100,
"Pta-6059","25239","23947","25313","23883",,100.6,,,100,
"OxA-32919","24630","24041","24653","23893",,100.8,,,100,
"OxA-32918","24910","24230","24963","24187",,101.3,,,100,
"Pta-6271","29981","28776","30128","28713",,101.5,,,100,
"Pta-6268","31044","29320","31268","28823",,95.6,,,100,
"OxA-32915","30038","29280","30093","29210",,101,,,100,
"Pta-966","27765","26462","28098","26143",,97.8,,,100,
"UBB8","37927","25927","37417","26077",,104,,,100,
"UBB9","34927","22927","35107","23107",,99.1,,,100,
"Pta-4389","34156","30491","34828","30053",,99.8,,,100,
"End ELSA",,,"18972","18122",,,,,100,
"",,,,,,,,,,
"Start RB",,,"24620","24108",,,,,95.8,
"",,,,,,,,,,
"Robberg",,,,,,,,,100,
"Robberg_Kernel","-2","2","-2.02","2",,100,,,99.9,
"Robberg_Scale","9.97466e-18","1","0.157","0.741",,100,,,99.9,
"Sum RB",,,,,,,,,100,
"SHCal20",,,,,,,,,,
"OxA-8530","14045","13368","14045","13365",,100,,,99.7,
"IT-C-3870","15522","14990","15521","14990",,100,,,99.7,
"IT-C-3864","12709","12100","12710","12100",,100,,,99.9,
"IT-C-3483","14050","13615","14050","13616",,99.9,,,99.9,
"IT-C-3854","14123","13794","14122","13794",,100,,,99.8,
"IT-C-3841","14800","13800","14800","13800",,100.1,,,99.7,
"IT-C-3840","14896","14056","14894","14057",,100,,,99.8,
"IT-C-3836","15225","14359","15225","14362",,100,,,99.7,
"IT-C-3487","15302","14891","15301","14890",,100,,,99.8,
"IT-C-3488","12465","11765","12464","11765",,99.9,,,99.8,
"IT-C-3883","12595","12000","12595","12000",,100,,,99.9,
"IT-C-3868","12702","12097","12702","12097",,99.8,,,99.9,
"IT-C-3481","12762","12480","12762","12480",,99.9,,,99.8,
"IT-C-3862","13235","12972","13235","12972",,99.8,,,99.9,
"OxA-33811","14004","13598","14004","13598",,99.7,,,99.9,
"IT-C-3882","14068","13767","14069","13767",,100,,,99.8,
"IT-C-3879","14162","13798","14163","13797",,99.9,,,99.8,
"IT-C-3861","15049","14291","15050","14291",,100,,,99.8,
"AA-6958","12603","11945","12604","11945",,100,,,99.8,
