"Name","Unmodelled (BP)",,"Modelled (BP)",,"Indices
Amodel 89.6
Aoverall 100.4",
,"from_95_4","to_95_4","from_95_4","to_95_4","Acomb","A","L","P","C",
"",,,,,,,,,,
"Pta-6951","11381","11053","11378","11045",,99.8,,,99.8,
"SHCal20",,,,,,,,,,
"Pta-6688","9000","8456","9000","8457",,99.9,,,99.7,
"Pta-6687","9527","8032","9526","8032",,100,,,99.4,
"Pta-6686","11280","10306","11283","10344",,100,,,99.6,
"Pta-6936","11625","11150","11625","11150",,100.2,,,99.7,
"Pta-6838","11839","11330","11839","11329",,99.7,,,99.9,
"Pta-6937","11333","10760","11332","10761",,100.2,,,99.8,
"Pta-6702","13162","11633","13163","11635",,100,,,99.3,
"GaK-1538","12763","11640","12764","11641",,100,,,99.5,
"Pta-666","8594","8209","8594","8209",,99.9,,,99.8,
"OxA-32451","9545","9459","9545","9460",,99.4,,,99.9,
"OxA-32452","9530","9304","9530","9303",,99.8,,,99.9,
"Pta-391","10246","9765","10246","9766",,99.9,,,99.8,
"OxA-32453","10649","10283","10649","10282",,99.9,,,99.8,
"Q-1085","12613","11256","12612","11259",,100,,,99.6,
"OxA-32454","11923","11341","11922","11340",,99.8,,,99.8,
"Pta-392","11972","11271","11972","11271",,99.9,,,99.7,
"UW-164","12084","11305","12083","11303",,100,,,99.7,
"OxA-32455","12464","11874","12464","11874",,99.9,,,99.8,
"UW-177","14117","13464","14076","13498",,102.6,,,99.8,
"I-6515","13494","12486","13495","12486",,100,,,99.5,
"Pta-5238","9892","9555","9892","9555",,99.9,,,99.9,
"OxA-32161","10119","9557","10120","9557",,100,,,99.9,
"OSL-NT11-15","10434","8434","10434","8434",,99.9,,,99.9,
"UGAMS-8974","9689","9538","9690","9538",,99.6,,,99.9,
"OxA-X-2460-48","10195","9691","10195","9692",,100,,,99.9,
"OxA-32160","10203","9790","10204","9790",,99.9,,,99.9,
"OSL-NT11-18","10234","8234","10234","8234",,100,,,99.9,
"OxA-32159","11086","10601","11088","10601",,99.9,,,99.8,
"OSL-NT11-06","12334","9934","12334","9934",,100,,,99.9,
"OxA-32158","10113","9552","10114","9552",,100,,,99.8,
"UGAMS-8975","10710","10502","10710","10502",,99.9,,,99.8,
"UGAMS-8976","10403","10199","10403","10199",,99.5,,,99.9,
"UGAMS-8977","9897","9556","9897","9556",,99.9,,,99.9,
"OSL-NT11-11","11534","9534","11539","9534",,100,,,99.9,
"OxA-32157","11098","10662","11098","10664",,99.9,,,99.9,
"UGAMS-8978","11069","10587","11069","10587",,99.7,,,99.9,
"OxA-26230","10655","10284","10655","10284",,99.9,,,99.9,
"Pta-5207","11255","10601","11254","10600",,100,,,99.5,
"UGAMS-8979","11171","10773","11170","10773",,99.8,,,99.9,
"OSL-NT11-17","13534","11134","13534","11134",,100.1,,,99.9,
"OSL-NT11-21","14734","11934","14174","12025",,108.1,,,99.9,
"OSL-NT06-5","12734","10334","12734","10334",,100,,,99.9,
"TX-5633","9416","8543","9416","8544",,100,,,99.7,
"TX-5634","10221","9551","10221","9551",,100,,,99.7,
"TX-5635","10683","10243","10683","10243",,99.9,,,99.8,
"TX-5636","12828","10432","12833","10435",,100,,,99.2,
"TX-5637","13795","11519","13790","11634",,100.6,,,99.3,
"Pta-410","10235","9699","10235","9699",,100,,,99.8,
"Pta-5600","9525","9129","9525","9129",,99.9,,,99.8,
"Pta-5560","9662","9479","9662","9479",,98.1,,,99.9,
"RCC21","9743","7343","9635","7499",,102.8,,,99.9,
"Pta-5599","10566","10239","10565","10239",,100,,,99.8,
"Pta-6278","8310","7875","8309","7875",,99.9,,,99.8,
"Pta-6280","8014","7700","8014","7699",,100,,,99.8,
"Pta-6072","8178","7838","8178","7837",,100,,,99.8,
"Pta-6083","7943","7671","7944","7670",,99.9,,,99.9,
"Pta-6368","10563","10253","10563","10253",,99.9,,,99.9,
"Pta-6057","11617","10586","11618","10586",,99.9,,,99.6,
"Pta-3533","8536","8189","8534","8189",,100,,,99.8,
"TX-5628","11057","10250","11056","10250",,100,,,99.8,
"Pta-3540","10148","9472","10148","9471",,100,,,99.7,
"TX-5630","10335","9486","10334","9487",,100,,,99.6,
"TX-5629","11180","10177","11181","10178",,100,,,99.6,
"Y-1996","11100","10224","11100","10225",,100,,,99.5,
"Pta-004","12463","9693","12464","9691",,100,,,99.1,
"Pta-5172","9891","9491","9891","9490",,99.9,,,99.8,
"BETA-469053 (CN 6666)","11073","10604","11073","10604",,99.6,,,99.9,
"IT-C-2322 (CN 1503)","11141","10699","11141","10699",,100,,,99.9,
"IT-C-2321 (CN 1503)","11158","10705","11156","10705",,100,,,99.9,
"BETA-469052 (CN 4945)","11163","10767","11164","10766",,99.8,,,99.9,
"IT-C-2360 (CN 8098)","11098","10572","11097","10572",,99.9,,,99.8,
"IT-C-2383 (CN 4944)","11078","10585","11079","10585",,99.7,,,99.8,
"IT-C-2590 (CN 7618)","11081","10587","11081","10587",,99.8,,,99.8,
"IT-C-2389 (CN 20608)","11090","10602","11089","10602",,99.9,,,99.8,
"IT-C-2542 (CN 18638)","11061","10511","11061","10511",,99.9,,,99.8,
"IT-C-2537 (CN 21323","11069","10566","11069","10566",,99.9,,,99.8,
"IT-C-2351 (CN 22339)","11072","10573","11073","10573",,99.8,,,99.8,
"BETA-442147 (CN 501)","11163","10767","11163","10766",,99.8,,,99.9,
"BETA-461585 (CN 20408)","11070","10596","11070","10596",,99.7,,,99.9,
"IT-C-2387 (CN 30047)","11098","10609","11099","10659",,99.9,,,99.8,
"T-C-2385 (CN 30048)","11142","10705","11142","10705",,99.9,,,99.9,
"IT-C-2540 (CN 27019)","11069","10520","11069","10521",,99.9,,,99.9,
"IT-C-2347 (CN 27014)","11075","10582","11075","10582",,99.7,,,99.9,
"IT-C-2559 (CN 27694)","11071","10579","11071","10579",,99.8,,,99.8,
"IT-C-2557 (CN 33274)","11109","10683","11109","10682",,99.9,,,99.9,
"IT-C-2535 (CN 27605)","11085","10601","11085","10601",,99.9,,,99.9,
"IT-C-2358 (CN 30657)","11099","10595","11099","10595",,99.9,,,99.8,
"IT-C-2388 (CN 32294)","11142","10696","11143","10697",,100,,,99.9,
"IT-C-2377 (CN 33766)","11106","10664","11106","10667",,99.9,,,99.9,
"IT-C-2560 (CN 30624)","11136","10704","11136","10704",,99.9,,,99.9,
"IT-C-2556 (CN 31813)","11168","10759","11168","10760",,99.9,,,99.9,
"IT-C-2531 (CN 33381)","10994","10506","10994","10506",,100,,,99.8,
"IT-C-2386 (CN 33381)","11084","10581","11083","10582",,99.8,,,99.8,
"IT-C-2384 (CN 33382)","11078","10585","11079","10585",,99.8,,,99.8,
"IT-C-2555 (CN 33382)","11093","10602","11093","10602",,99.8,,,99.8,
"IT-C-2532 (CN 31884)","11172","10761","11172","10761",,99.9,,,99.9,
"IT-C-2349 (CN 31884)","11200","10775","11200","10775",,99.9,,,99.8,
"BETA-461584 (CN 17125)","11185","10788","11185","10788",,99.8,,,99.9,
"Pta-2546","10554","9916","10552","9917",,99.9,,,99.8,
"Pta-2852","11615","10687","11614","10686",,100,,,99.7,
"Pta-2790","11715","11235","11716","11234",,99.9,,,99.8,
"Pta-2786","12430","11310","12429","11309",,100,,,99.8,
"Pta-6872","12086","11237","12085","11237",,100,,,99.6,
"Pta-6871","11950","11257","11949","11256",,100,,,99.7,
"Pta-6884","11881","11245","11881","11245",,100,,,99.7,
"End OAK",,,"7548","7305",,,,,98.5,
