"","Estimate","upperCI","Cul"
"130",17962.4581132609,-14958.9271834672,"x"
"131",15105.188788346,-9310.763954908,"x"
"132",15484.8540236556,-11003.075285867,"x"
"133",9892.507676466,10385.5791085765,"x"
"134",17504.2558586162,-15208.0814298604,"x"
"135",15635.9962084558,-10625.3755501312,"x"
"136",12246.9201607764,-656.816219851575,"x"
"137",15312.4845340267,-8748.72061901603,"x"
"138",14644.7725543233,-9884.71790230378,"x"
"139",16427.2068471831,-12159.9835483157,"x"
"140",12890.0852985429,-2209.55963550326,"x"
"141",14649.1183714686,-8334.72668566346,"x"
"142",16616.2053233694,-12423.2340329569,"x"
"143",17740.4610163808,-15098.5947010443,"x"
"144",12555.1264714259,-2785.60571548758,"x"
"145",18484.6074849434,-16940.1480675394,"x"
"146",16109.4547148627,-10508.2918193474,"x"
"147",17166.4516683731,-13905.9982800236,"x"
"148",13022.5759443316,-3745.64352149636,"x"
"149",16628.5150946636,-12274.6532940095,"x"
"150",12421.0553839316,133.94563959719,"x"
"151",14872.4130925241,-8345.09408203906,"x"
"152",11950.3972521825,272.613590121757,"x"
"153",15356.6366564709,-9996.98608956552,"x"
"154",17010.1626793034,-14009.3154535246,"x"
"155",15572.6971229375,-9184.74509526368,"x"
"156",13664.6593682883,-4646.44523614601,"x"
"157",17769.0128407677,-15273.9681809299,"x"
"158",14792.4887990494,-9057.13312964658,"x"
"159",17610.3052475935,-15082.8915504372,"x"
"160",15205.3128797538,-10323.0475386576,"x"
"161",16464.2594000912,-12684.6337599651,"x"
"162",16351.3966174678,-12340.8489891167,"x"
"163",16746.2368290381,-11047.9297763426,"x"
"164",14256.4906918457,-6187.73903710419,"x"
"165",14584.014114201,-7708.88613500035,"x"
"166",15490.1360949097,-10346.0653644601,"x"
"167",13329.3144941349,-5387.28826564366,"x"
"168",16067.4735730016,-11633.0168597322,"x"
"169",17076.2631249195,-13384.276616255,"x"
"170",11349.4823051006,2595.68370133814,"x"
"171",14199.2038619861,-5995.785293204,"x"
"172",17314.0154230215,-13637.6698741924,"x"
"173",15124.2192650223,-10102.6467359746,"x"
"174",11830.8672108667,1103.52951036652,"x"
"175",14127.989028749,-6018.14256988204,"x"
"176",14615.5847663965,-8059.88257343043,"x"
"177",12419.4524904963,-2433.50182390301,"x"
"178",15393.0295589159,-9596.63005988629,"x"
"179",15756.1592351829,-11773.1553924546,"x"
"180",14493.436141966,-8777.99439286469,"x"
"181",13971.7606841978,-5572.02212108179,"x"
"182",14932.714382692,-9203.17899205592,"x"
"183",15475.4744486962,-10342.7891620401,"x"
"184",15875.133367981,-12420.6071109334,"x"
"185",13305.446930912,-4107.12463923211,"x"
"186",16796.8755418413,-13304.8605480438,"x"
"187",15316.098683395,-10191.4121899212,"x"
"188",15772.0954175395,-10165.463838315,"x"
"189",13048.1233478189,-4702.85704131807,"x"
"190",17434.909947128,-14766.676011977,"x"
"191",14115.3175622973,-5535.5075377268,"x"
"192",13389.1467157238,-4452.94371143329,"x"
"193",17784.831640188,-15665.4277272763,"x"
"194",14067.3602334643,-6572.66103107673,"x"
"195",14391.600887689,-8050.25327946769,"x"
"196",17152.7781262355,-14369.1235230771,"x"
"197",16900.2369346764,-12300.490103532,"x"
"198",13319.485745007,-2941.86306566932,"x"
"199",12612.7932712763,-2728.3691051868,"x"
"200",15989.8354533466,-11628.1540764075,"x"
"201",16158.4205677168,-11682.322270648,"x"
"202",16990.1033530688,-13527.9632289423,"x"
"203",18198.1796598582,-16404.9502603463,"x"
"204",14681.7716260562,-7877.34492610903,"x"
"205",17775.6820591698,-16115.3624901776,"x"
"206",14404.9791327712,-6332.42844760193,"x"
"207",13317.2290751258,-3804.04237450488,"x"
"208",15786.6892271868,-11521.3669778336,"x"
"209",13883.0471002379,-6751.17694219792,"x"
"210",16771.0436558667,-13788.0071579904,"x"
"211",16810.1732813075,-13484.0602319925,"x"
"212",14072.0302880315,-6493.19546367864,"x"
"213",13734.0505044298,-5101.32373468325,"x"
"214",14517.9190850038,-7132.90704230667,"x"
"215",12852.5088644168,-4336.16366178903,"x"
"216",18233.2462129405,-15942.2166934764,"x"
"217",17401.2009548637,-15040.6608973906,"x"
"218",13108.6975421328,-6007.49863476198,"x"
"219",14172.0275659696,-6093.72463442645,"x"
"220",14555.2032731681,-7636.29062324465,"x"
"221",14047.8845983493,-5262.34409447404,"x"
"222",15955.2648115116,-10360.2750116228,"x"
"223",10810.155764151,2482.86336241366,"x"
"224",13814.4857540896,-5430.48449698448,"x"
"225",16318.1749334865,-12593.2266135614,"x"
"226",12530.5970470048,-3726.96650758764,"x"
"227",15036.093398675,-10181.219867096,"x"
"228",16205.009490845,-12803.7390609991,"x"
"229",15717.8558266053,-11322.0432534748,"x"
"230",16350.3752360946,-12736.4389237259,"x"
"231",14992.1866723851,-8307.89769507793,"x"
"232",14316.790530445,-7424.00714824415,"x"
"233",11079.6865963141,2512.32893977538,"x"
"234",15253.8915296532,-10011.3096850373,"x"
"235",14435.6853022735,-7257.52267474401,"x"
"236",14702.1005569911,-8347.97232964127,"x"
"237",16560.1791538924,-12690.1975569052,"x"
"238",13605.2930270706,-4047.93649451647,"x"
"239",11838.2891140544,772.942671439983,"x"
"240",13797.5303405029,-5384.02546569838,"x"
"241",15230.5196009491,-10333.0799779249,"x"
"242",13918.8961952387,-5954.07154840847,"x"
"243",14715.4508295614,-8605.06398570773,"x"
"244",17895.5333328227,-15428.1667451669,"x"
"245",15810.584093455,-11112.8419782963,"x"
"246",16968.8769853695,-13391.5762796642,"x"
"247",15030.6345736934,-9486.41845862954,"x"
"248",15430.9327415527,-10322.3953466513,"x"
"249",14329.8212271064,-8103.44275052958,"x"
"250",15257.142324381,-8553.43050795424,"x"
"251",16907.0727969323,-13964.7555002527,"x"
"252",16816.4596600487,-13531.5828091583,"x"
"253",18237.9781636396,-15659.8149449657,"x"
"254",12502.423374795,-3425.31765445141,"x"
"255",17364.8993828785,-14851.2192023397,"x"
"256",15159.3666637925,-9482.88571542089,"x"
"257",18055.554863626,-15985.5112395332,"x"
"258",17532.7268707056,-14858.9659530876,"x"
"259",15364.8536753934,-9627.39130350105,"x"
"260",12823.6971878202,-2537.08229181368,"x"
"261",13304.513124188,-3676.90662863,"x"
"262",16295.9061596378,-13058.7700805305,"x"
"263",13637.5295629107,-5791.95359895393,"x"
"264",16297.8118613157,-12526.3003518347,"x"
"265",15336.1507623525,-10524.5014332942,"x"
"266",12737.9775121881,-1435.88063927311,"x"
"267",15097.1746499183,-9245.45514830806,"x"
"268",14245.5827840929,-8350.60888281366,"x"
"269",15514.7104558725,-11726.8293788306,"x"
"270",15942.210451842,-11370.6683811845,"x"
"271",15570.5459168854,-10641.5737120339,"x"
"272",12813.3128087605,-3599.79525558862,"x"
"273",16793.5769330281,-13019.0580638543,"x"
"274",17734.8974130646,-15151.7397454669,"x"
"275",14728.7157601774,-7912.90363173846,"x"
"276",13503.7581829544,-4354.94400878636,"x"
"277",15626.8130646203,-10936.7815334098,"x"
"278",10703.997829539,3924.39555075632,"x"
"279",17187.9391884531,-14488.0607277318,"x"
"280",15888.9448530647,-11180.3242241892,"x"
"281",12678.8365479749,-1215.06835338144,"x"
"282",14707.0888008214,-8228.05772210315,"x"
"283",14041.2401079485,-8143.8429036701,"x"
"284",15041.9876449413,-9488.37473942804,"x"
"285",14722.713033343,-8921.30533267217,"x"
"286",17330.9407864606,-14044.2184244678,"x"
"287",16003.3043996228,-10978.2078112508,"x"
"288",12489.0145148306,-3575.4208023379,"x"
"289",15113.4382469784,-9055.54273600649,"x"
"290",15918.058103277,-11942.2683027676,"x"
"291",11353.8350412709,1738.4442684549,"x"
"292",16686.0129710526,-12711.431240712,"x"
"293",13384.654228959,-4037.88892821832,"x"
"294",12332.1012849837,-2246.92955820548,"x"
"295",14904.2356822748,-7552.27614700436,"x"
"296",17800.6660886303,-14671.2578662791,"x"
"297",15728.6560354032,-9898.49515899932,"x"
"298",14733.1058382033,-9500.75120315693,"x"
